,fdc_id,1004,1087,1090,1092,1095,1091,1089,1098,1101,1051,1007,1002,1093,1079,1003,1009,1102,1265,1266,1264,0,1,2,3,4
0,319877,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,1.98,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139555.93927230473,7635.496843206206,2.24947981894611,0.6563332144512433,0.5745349505022039
1,319878,0.0,46.0,75.9,326.0,1.5,188.0,2.33,0.38,1.21,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139554.92058428313,7634.515887193754,2.2495841154371528,0.6563284088143484,0.5745443967145093
2,319882,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1,1.99,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139550.84583219673,7630.592063143942,2.2500013014013236,0.656309186266769,0.574582181563731
3,319883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139549.82714417513,7629.61110713149,2.2501055978923667,0.6563043806298742,0.5745916277760363
4,319884,0.0,57.0,81.4,327.0,1.47,190.0,2.96,0.39399999999999996,1.2,0.0,0.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139548.80845615355,7628.630151119036,2.2502098943834095,0.6562995749929793,0.5746010739883418
5,319892,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,2.02,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139540.65895198076,7620.782503019413,2.251044266311752,0.6562611298978206,0.5746766436867851
6,319893,0.0,46.0,69.8,320.0,1.42,179.0,2.72,0.382,1.18,0.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139539.64026395915,7619.80154700696,2.2511485628027947,0.6562563242609258,0.5746860898990905
7,319899,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,1.98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139533.52813582958,7613.9158109322425,2.251774341749052,0.6562274904395567,0.574742767172923
8,319900,0.0,38.0,68.5,252.0,1.28,143.0,2.07,0.309,0.95,0.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139532.50944780797,7612.93485491979,2.2518786382400946,0.6562226848026619,0.5747522133852284
9,319906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.7709999999999999,0.01,-139526.3973196784,7607.0491188450715,2.2525044171863513,0.6561938509812929,0.5748088906590609
10,319907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,-139525.3786316568,7606.068162832619,2.252608713677394,0.656189045344398,0.5748183368713663
11,319908,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8,1.99,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139524.3599436352,7605.087206820167,2.252713010168437,0.6561842397075033,0.5748277830836718
12,319909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139523.3412556136,7604.106250807713,2.25281730665948,0.6561794340706084,0.5748372292959771
13,319910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139522.322567592,7603.125294795261,2.2529216031505226,0.6561746284337135,0.5748466755082826
14,319911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139521.3038795704,7602.144338782808,2.2530258996415653,0.6561698227968187,0.574856121720588
15,319912,0.0,51.0,73.1,317.0,1.45,184.0,2.7,0.376,1.15,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139520.2851915488,7601.163382770355,2.2531301961326085,0.6561650171599239,0.5748655679328935
16,319913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139519.2665035272,7600.182426757903,2.253234492623651,0.6561602115230291,0.5748750141451988
17,319914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139518.2478155056,7599.201470745449,2.253338789114694,0.6561554058861342,0.5748844603575043
18,319915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,-139517.22912748402,7598.220514732997,2.2534430856057366,0.6561506002492393,0.5748939065698097
19,319916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139516.21043946242,7597.239558720543,2.2535473820967797,0.6561457946123446,0.5749033527821151
20,319917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139515.1917514408,7596.258602708091,2.2536516785878224,0.6561409889754497,0.5749127989944205
